Food Item,Serving Size (g),Calories (kcal),Dietary preference,Allergens,Glycemic Index,Protein (g),Carbs (g),Fats (g),Meal Type
Cream,70,361,Vegetarian,Gluten,59,20.98,47.33,47.47,Snack
Spinach,229,396,Vegetarian,None,11,10.26,99.09,38.86,Lunch
Beef,467,179,Non-Vegetarian,Dairy,15,41.24,89.74,13.39,Breakfast
Cashews,138,459,Vegetarian,Dairy,93,33.96,5.68,42.7,Breakfast
Peanuts,333,582,Vegetarian,None,78,19.64,28.35,24.78,Dinner
Chickpeas,87,156,Vegetarian,Shellfish,15,22.58,90.1,16.33,Breakfast
Blueberries,178,288,Vegetarian,None,54,30.55,30.76,15.52,Snack
Rice Milk,222,168,Vegetarian,Gluten,88,9.36,78.53,46.22,Snack
Yams,385,399,Vegetarian,Dairy,22,45.45,15.47,0.89,Snack
Scallions,462,637,Vegetarian,None,64,29.46,5.68,30.15,Lunch
Duck,461,76,Non-Vegetarian,None,15,39.18,85.88,38.81,Dinner
Salmon,217,416,Non-Vegetarian,Nuts,38,32.89,78.88,3.1,Breakfast
Honeydew,198,617,Vegetarian,None,19,25.33,65.18,38.81,Lunch
Oranges,92,513,Vegetarian,None,59,43.4,22.12,1.18,Snack
Bananas,217,575,Vegetarian,Nuts,23,35.08,85.88,14.36,Dinner
Egg,285,430,Non-Vegetarian,None,99,35.95,55.32,14.52,Breakfast
Raspberries,427,664,Vegetarian,Shellfish,15,30.55,74.31,19.8,Dinner
Papaya,442,670,Vegetarian,Dairy,49,41.67,78.02,12.26,Lunch
Raspberries,285,670,Vegetarian,None,59,31.73,37.89,48.05,Snack
Rice,67,650,Vegetarian,Gluten,63,18.93,64.62,19.8,Dinner
Spinach,311,671,Vegetarian,Gluten,78,41.67,48.29,6.62,Lunch
Oat Milk,181,575,Vegetarian,Nuts,15,34.87,69.92,12.36,Snack
Duck,385,158,Non-Vegetarian,Shellfish,29,25.03,87.68,47.79,Breakfast
Peanuts,174,168,Vegetarian,Dairy,19,11.89,35.38,22.65,Dinner
Wheat,67,474,Vegetarian,Shellfish,52,26.74,39.41,40.03,Snack
Mango,174,532,Vegetarian,Shellfish,63,37.8,78.04,12.26,Dinner
Scallions,162,318,Vegetarian,Nuts,66,26.74,2.07,44.12,Lunch
Cream,202,144,Vegetarian,Shellfish,57,35.95,73.3,35.88,Snack
Chicken,193,399,Non-Vegetarian,Dairy,21,34.7,73.93,48.05,Breakfast
Grapes,236,361,Vegetarian,Dairy,59,5.73,26.59,14.52,Dinner
Wheat,222,662,Vegetarian,Gluten,37,8.48,22.12,33.47,Lunch
Grapes,192,288,Vegetarian,None,22,12.51,93.7,42.88,Snack
Milk,142,213,Vegetarian,Nuts,97,10.26,56.73,16.33,Lunch
Turkey,462,133,Non-Vegetarian,Gluten,49,16.71,26.59,23.91,Dinner
Almonds,162,54,Vegetarian,Shellfish,21,19.11,87.68,1.84,Lunch
Chili Peppers,372,369,Vegetarian,Nuts,80,35.95,93.7,16.02,Snack
Scallions,92,529,Vegetarian,Shellfish,21,45.04,32.79,16.11,Lunch
Shallots,462,662,Vegetarian,Nuts,44,1.06,73.93,23.91,Breakfast
Raspberries,68,472,Vegetarian,Nuts,24,16.23,28.35,11.36,Lunch
Cheese,269,612,Vegetarian,None,72,27.45,50.43,6.44,Breakfast
Shrimp,142,96,Non-Vegetarian,Shellfish,99,35.95,20.3,17.28,Dinner
Radishes,231,158,Vegetarian,None,47,14.59,96.73,11.36,Breakfast
Chicken,403,422,Non-Vegetarian,Shellfish,79,11.94,34.29,42.7,Dinner
Apricots,67,156,Vegetarian,Nuts,24,21.08,92.11,48.78,Lunch
Quinoa,461,243,Vegetarian,Gluten,17,33.13,61.22,42.7,Lunch
Apples,181,76,Vegetarian,None,20,9.36,45.71,10.49,Breakfast
Plums,333,469,Vegetarian,Dairy,77,45.04,80.47,17.93,Lunch
Cantaloupe,372,301,Vegetarian,Dairy,29,43.4,88.15,25.63,Snack
Cherries,68,637,Vegetarian,Shellfish,64,33.13,87.26,40.94,Dinner
Shallots,334,584,Vegetarian,Gluten,21,12.51,64.62,25.01,Breakfast
Bell Peppers,66,169,Vegetarian,Dairy,82,25.03,42.27,30.15,Snack
Turkey,263,371,Non-Vegetarian,Dairy,61,3.29,93.48,19.42,Dinner
Egg,67,670,Non-Vegetarian,Nuts,47,15.91,99.09,31.39,Snack
Pineapple,269,445,Vegetarian,Gluten,67,3.45,44.23,35.88,Lunch
Almonds,351,529,Vegetarian,None,96,33.96,87.26,6.44,Lunch
Parsnips,275,430,Vegetarian,Shellfish,88,34.58,61.17,26.44,Snack
Barley,285,612,Vegetarian,Gluten,21,44.65,89.74,47.79,Lunch
Broccoli,281,556,Vegetarian,Gluten,27,12.89,87.26,38.9,Breakfast
Kale,174,617,Vegetarian,None,48,45.04,26.0,17.28,Dinner
Peanuts,192,440,Vegetarian,Shellfish,59,25.05,34.29,13.39,Breakfast
Apples,98,96,Vegetarian,None,95,2.68,21.8,14.17,Snack
Oat Milk,216,529,Vegetarian,Gluten,12,41.54,56.39,14.71,Lunch
Tomatoes,198,422,Vegetarian,Gluten,23,20.98,30.76,23.98,Breakfast
Duck,389,86,Non-Vegetarian,Shellfish,79,3.45,18.2,23.31,Lunch
Pineapple,202,514,Vegetarian,Dairy,41,24.11,61.17,16.11,Breakfast
Watermelon,133,288,Vegetarian,Gluten,92,2.1,99.09,24.78,Dinner
Apples,421,520,Vegetarian,Gluten,21,7.86,61.67,27.36,Breakfast
Almonds,372,156,Vegetarian,Nuts,23,21.08,78.88,14.71,Dinner
Scallions,351,117,Vegetarian,Dairy,17,42.95,70.43,48.78,Dinner
Onions,447,169,Vegetarian,Dairy,15,47.53,94.85,28.0,Lunch
Peanuts,66,301,Vegetarian,Gluten,26,15.91,30.76,40.03,Breakfast
Barley,229,562,Vegetarian,Shellfish,99,47.53,26.0,6.44,Lunch
Nectarines,239,677,Vegetarian,Dairy,48,44.65,70.21,17.93,Snack
Cheese,147,287,Vegetarian,None,36,41.54,73.18,28.0,Dinner
Turnips,380,536,Vegetarian,Nuts,59,21.08,65.18,47.47,Dinner
Honeydew,499,472,Vegetarian,Nuts,75,41.67,48.29,19.8,Breakfast
Tomatoes,311,692,Vegetarian,Shellfish,57,10.84,73.3,35.88,Lunch
Radishes,333,514,Vegetarian,Gluten,63,35.08,73.93,0.89,Dinner
Squash,206,438,Vegetarian,Dairy,38,3.51,80.47,38.81,Lunch
Chicken,406,92,Non-Vegetarian,Shellfish,26,22.55,42.27,13.39,Breakfast
Squash,183,384,Vegetarian,Gluten,37,32.89,45.53,14.36,Snack
Brazil Nuts,160,375,Vegetarian,Shellfish,29,25.15,67.69,3.1,Dinner
Raspberries,59,422,Vegetarian,Gluten,47,14.59,75.85,17.93,Lunch
Seitan,283,86,Vegetarian,Dairy,20,46.53,35.38,15.52,Dinner
Yams,160,514,Vegetarian,Gluten,55,46.53,85.88,42.7,Breakfast
Soy Milk,406,530,Vegetarian,Nuts,44,27.65,20.3,12.48,Snack
Scallions,198,288,Vegetarian,Dairy,48,35.65,64.65,16.11,Lunch
Soy Milk,168,147,Vegetarian,Shellfish,78,3.56,48.29,23.12,Snack
Beans,132,536,Vegetarian,Dairy,30,21.08,96.08,38.21,Snack
Corn,124,361,Vegetarian,Shellfish,97,6.23,61.17,32.97,Lunch
Barley,275,692,Vegetarian,None,92,9.38,0.56,32.97,Dinner
Radishes,275,175,Vegetarian,Dairy,21,45.04,70.43,25.63,Breakfast
Honeydew,162,168,Vegetarian,None,55,30.55,76.48,16.02,Snack
Rice,463,516,Vegetarian,Gluten,71,25.03,56.39,12.36,Breakfast
Beans,397,288,Vegetarian,Nuts,88,18.93,56.39,30.15,Breakfast
Pineapple,94,582,Vegetarian,Shellfish,15,6.23,87.67,38.97,Lunch
Plums,451,243,Vegetarian,Dairy,26,27.65,18.2,35.88,Snack
Coconut Milk,192,584,Vegetarian,Nuts,53,34.58,5.68,16.68,Breakfast
Tofu,372,156,Vegetarian,Dairy,12,11.89,78.02,49.9,Breakfast
Beef,447,284,Non-Vegetarian,Shellfish,58,11.62,55.32,29.08,Dinner
Walnuts,419,325,Vegetarian,Shellfish,67,41.64,90.1,10.49,Snack
Honeydew,427,156,Vegetarian,Gluten,78,21.52,61.17,19.06,Breakfast
Grapes,138,414,Vegetarian,Shellfish,18,20.98,76.48,15.85,Breakfast
Brazil Nuts,428,234,Vegetarian,None,77,2.68,73.18,1.84,Dinner
Pork,263,416,Non-Vegetarian,Gluten,37,11.2,50.43,23.91,Snack
Cheese,340,133,Vegetarian,Shellfish,41,8.68,69.92,37.31,Breakfast
Cauliflower,461,175,Vegetarian,Gluten,98,38.21,42.27,17.93,Breakfast
Broccoli,92,288,Vegetarian,None,18,26.74,18.2,23.91,Breakfast
Potatoes,68,556,Vegetarian,Nuts,78,38.21,99.26,38.86,Snack
Nuts,160,301,Vegetarian,Dairy,37,3.99,26.59,47.47,Snack
Watermelon,389,469,Vegetarian,Shellfish,19,31.73,37.89,33.06,Lunch
Pumpkin,318,325,Vegetarian,Gluten,44,47.53,64.65,1.18,Breakfast
Apricots,70,533,Vegetarian,Dairy,78,44.65,87.26,26.44,Lunch
Cheese,442,422,Vegetarian,Dairy,47,5.23,54.96,33.82,Snack
Mango,174,664,Vegetarian,Dairy,59,12.89,25.38,33.06,Breakfast
Carrot,405,438,Vegetarian,None,75,11.94,42.27,28.0,Dinner
Wheat,213,459,Vegetarian,Nuts,47,41.24,53.8,46.9,Dinner
Spinach,124,438,Vegetarian,Dairy,82,29.46,78.04,46.9,Breakfast
Oranges,66,234,Vegetarian,Dairy,94,3.99,64.62,17.93,Dinner
Plums,217,117,Vegetarian,Gluten,27,32.61,78.53,28.6,Lunch
Corn,463,133,Vegetarian,Nuts,30,3.29,2.07,35.88,Dinner
Plums,451,259,Vegetarian,Shellfish,71,44.65,48.29,28.6,Breakfast
Tuna,389,575,Non-Vegetarian,Shellfish,98,6.23,46.24,42.88,Lunch
Cherries,70,516,Vegetarian,Dairy,21,44.47,24.51,15.34,Snack
Pecans,206,650,Vegetarian,Nuts,59,29.46,85.88,13.39,Breakfast
Apricots,364,284,Vegetarian,Gluten,11,7.86,22.28,25.01,Snack
Tuna,297,626,Non-Vegetarian,Dairy,30,33.12,20.3,20.19,Snack
Egg,253,438,Non-Vegetarian,Shellfish,80,28.89,74.31,12.48,Breakfast
Zucchini,285,650,Vegetarian,Shellfish,93,41.54,43.46,38.21,Lunch
Yams,462,530,Vegetarian,Dairy,29,32.89,61.22,45.92,Lunch
Macadamia,340,584,Vegetarian,Shellfish,67,39.32,64.62,12.84,Snack
Cherries,312,288,Vegetarian,Shellfish,88,19.64,50.43,46.9,Lunch
Shrimp,462,259,Non-Vegetarian,None,88,8.68,8.77,15.52,Lunch
Seitan,351,530,Vegetarian,Shellfish,48,3.51,42.27,31.39,Snack
Lamb,461,414,Non-Vegetarian,Shellfish,58,9.38,0.56,32.33,Dinner
Yogurt,342,156,Vegetarian,Dairy,27,11.62,54.96,35.88,Lunch
Cherries,202,384,Vegetarian,Gluten,96,14.59,37.5,30.15,Snack
Zucchini,183,76,Vegetarian,None,21,6.23,92.79,28.6,Lunch
Cream,385,557,Vegetarian,Nuts,95,46.67,56.39,23.91,Lunch
Kale,192,384,Vegetarian,None,44,37.93,61.22,42.88,Lunch
Peaches,147,633,Vegetarian,Dairy,66,35.61,35.38,25.01,Dinner
Milk,318,318,Vegetarian,Nuts,21,34.25,47.33,46.9,Snack
Shallots,266,556,Vegetarian,Dairy,98,35.95,30.76,7.29,Lunch
Lamb,198,369,Non-Vegetarian,Nuts,41,35.08,99.26,6.44,Snack
Oat,229,582,Vegetarian,Shellfish,95,39.32,24.51,35.88,Dinner
Bananas,442,315,Vegetarian,Gluten,75,8.48,2.07,38.97,Lunch
Milk,334,238,Vegetarian,Dairy,63,8.68,21.8,40.03,Dinner
Beans,124,536,Vegetarian,None,88,6.23,92.11,23.51,Snack
Carrot,168,459,Vegetarian,None,82,8.48,30.76,23.31,Breakfast
Honeydew,340,227,Vegetarian,Shellfish,59,33.13,26.59,6.44,Breakfast
Tofu,442,117,Vegetarian,None,87,44.65,70.43,23.12,Dinner
Pistachios,87,670,Vegetarian,Gluten,23,39.32,25.38,22.65,Breakfast
Nuts,229,54,Vegetarian,None,21,32.89,92.79,46.22,Breakfast
Beetroot,312,469,Vegetarian,Shellfish,29,10.26,65.18,27.36,Lunch
Corn,372,664,Vegetarian,Nuts,59,19.11,65.18,38.93,Snack
Cherries,253,227,Vegetarian,None,48,32.79,73.93,32.33,Breakfast
Corn,275,438,Vegetarian,Dairy,54,11.89,69.92,12.26,Dinner
Bell Peppers,124,399,Vegetarian,Gluten,23,24.52,96.73,35.88,Dinner
Radishes,213,179,Vegetarian,Dairy,59,26.11,26.59,28.42,Lunch
Salmon,200,243,Non-Vegetarian,Shellfish,44,24.52,55.33,27.13,Dinner
Oranges,193,384,Vegetarian,None,82,34.58,73.12,12.84,Lunch
Radishes,281,422,Vegetarian,Nuts,77,33.13,67.69,27.13,Breakfast
Chili Peppers,138,556,Vegetarian,Shellfish,37,30.68,31.62,42.7,Dinner
Chickpeas,70,133,Vegetarian,Nuts,87,35.3,26.59,1.4,Breakfast
Nuts,421,529,Vegetarian,Dairy,32,16.71,56.73,47.05,Snack
Pecans,294,472,Vegetarian,None,52,47.53,30.76,30.15,Breakfast
Cauliflower,461,445,Vegetarian,Gluten,15,5.73,28.31,32.97,Lunch
Wheat,160,470,Vegetarian,None,41,35.65,61.15,45.92,Snack
Tofu,372,619,Vegetarian,Gluten,21,46.67,39.41,3.1,Breakfast
Strawberries,281,670,Vegetarian,None,61,46.67,94.85,22.65,Dinner
Bananas,133,238,Vegetarian,Dairy,55,35.95,93.48,49.9,Lunch
Rice,206,529,Vegetarian,Shellfish,49,3.51,26.0,44.12,Snack
Tofu,206,612,Vegetarian,Shellfish,44,19.11,42.27,38.38,Snack
Squash,294,306,Vegetarian,Gluten,78,41.16,61.17,46.22,Breakfast
Barley,333,414,Vegetarian,Nuts,87,3.56,44.23,30.15,Dinner
Quinoa,275,622,Vegetarian,Nuts,59,19.11,73.3,19.42,Breakfast
Garlic,174,284,Vegetarian,Dairy,79,42.95,67.69,31.39,Dinner
Turkey,160,360,Non-Vegetarian,None,41,26.74,26.0,26.02,Dinner
Cashews,453,612,Vegetarian,None,64,32.06,65.18,1.18,Lunch
Peas,281,532,Vegetarian,Shellfish,10,3.99,76.46,27.13,Snack
Coconut Milk,461,633,Vegetarian,Shellfish,63,19.64,2.07,16.11,Lunch
Brazil Nuts,297,513,Vegetarian,Dairy,30,16.23,5.68,14.52,Breakfast
Chicken,76,533,Non-Vegetarian,Dairy,54,10.84,99.26,13.39,Snack
Lamb,283,670,Non-Vegetarian,Dairy,21,18.93,41.39,38.86,Breakfast
Butter,447,459,Vegetarian,Gluten,49,25.33,76.48,35.86,Breakfast
Oat Milk,351,384,Vegetarian,None,59,11.89,90.1,10.93,Dinner
Wheat,67,301,Vegetarian,Dairy,12,34.58,88.15,17.93,Snack
Duck,311,371,Non-Vegetarian,Shellfish,58,21.52,5.68,14.71,Snack
Turkey,68,96,Non-Vegetarian,Dairy,86,40.52,10.73,46.22,Lunch
Plums,298,459,Vegetarian,Dairy,79,31.73,53.8,12.56,Lunch
Scallions,281,512,Vegetarian,None,27,15.96,53.8,44.12,Dinner
Peaches,160,371,Vegetarian,Nuts,87,26.74,45.53,35.88,Snack
Cantaloupe,285,615,Vegetarian,Dairy,48,30.55,37.96,10.49,Dinner
Pumpkin,207,92,Vegetarian,Nuts,95,35.3,0.56,47.05,Lunch
Apples,138,670,Vegetarian,Gluten,11,33.12,76.48,26.44,Lunch
Plums,385,224,Vegetarian,Gluten,27,40.52,21.8,18.81,Snack
Onions,394,626,Vegetarian,Nuts,59,29.46,93.7,38.93,Lunch
Apricots,447,440,Vegetarian,Gluten,29,26.74,43.46,38.38,Lunch
Blueberries,59,562,Vegetarian,Gluten,82,25.03,79.59,15.34,Breakfast
Plums,192,470,Vegetarian,Nuts,59,30.55,61.17,16.68,Dinner
Egg,174,284,Non-Vegetarian,Gluten,87,35.95,30.76,7.68,Snack
Tempeh,216,671,Vegetarian,None,71,25.33,35.38,38.9,Lunch
Cherries,447,529,Vegetarian,Dairy,41,35.08,2.07,28.0,Breakfast
Walnuts,71,384,Vegetarian,Shellfish,54,7.86,94.85,20.19,Lunch
Peaches,283,564,Vegetarian,Shellfish,55,41.54,37.89,17.93,Dinner
Mango,421,438,Vegetarian,Gluten,44,41.16,76.46,38.86,Lunch
Cantaloupe,178,532,Vegetarian,Gluten,21,42.95,76.48,10.61,Dinner
Almond Milk,462,147,Vegetarian,Shellfish,78,3.56,93.7,37.31,Lunch
Tofu,94,626,Vegetarian,Gluten,21,19.83,97.12,12.36,Lunch
Kiwi,403,158,Vegetarian,None,11,27.65,5.68,32.24,Lunch
Egg,193,445,Non-Vegetarian,None,71,21.08,77.52,20.59,Snack
Cantaloupe,453,416,Vegetarian,Shellfish,59,2.1,33.94,28.42,Lunch
Parsnips,406,513,Vegetarian,None,22,34.87,96.08,10.93,Lunch
Peanuts,213,179,Vegetarian,Shellfish,24,21.08,5.68,49.9,Breakfast
Shrimp,216,346,Non-Vegetarian,Shellfish,55,39.32,34.29,32.24,Dinner
Spinach,406,459,Vegetarian,Shellfish,29,41.64,78.02,30.15,Lunch
Blackberries,239,213,Vegetarian,Shellfish,82,2.1,28.35,48.05,Breakfast
Soy Milk,213,361,Vegetarian,Nuts,72,44.63,56.73,40.94,Snack
Radishes,154,459,Vegetarian,Shellfish,77,10.84,67.69,23.98,Breakfast
Quinoa,66,346,Vegetarian,None,29,48.14,93.48,12.69,Breakfast
Rice Milk,283,318,Vegetarian,Shellfish,44,25.33,97.12,23.98,Lunch
Chili Peppers,206,96,Vegetarian,Shellfish,11,8.48,47.67,10.61,Snack
Nuts,174,284,Vegetarian,None,20,46.26,37.52,11.66,Breakfast
Onions,231,677,Vegetarian,Gluten,80,11.89,93.48,10.15,Dinner
Yams,463,239,Vegetarian,Shellfish,59,32.89,93.7,12.84,Dinner
Leeks,66,637,Vegetarian,Shellfish,58,9.36,99.09,33.82,Snack
Quinoa,192,179,Vegetarian,Dairy,82,28.89,18.2,3.1,Dinner
Potatoes,275,662,Vegetarian,Nuts,12,6.23,78.02,32.97,Snack
Tofu,207,144,Vegetarian,Nuts,57,19.76,43.46,0.6,Breakfast
Pineapple,340,96,Vegetarian,Nuts,96,22.58,64.62,10.49,Breakfast
Cucumber,198,361,Vegetarian,None,24,33.13,74.18,10.15,Lunch
Leeks,174,234,Vegetarian,Shellfish,54,27.45,18.2,29.08,Dinner
Broccoli,183,301,Vegetarian,Shellfish,12,7.86,73.3,33.82,Snack
Chicken,92,369,Non-Vegetarian,Gluten,48,15.22,54.96,38.38,Snack
Tuna,318,459,Non-Vegetarian,Shellfish,93,39.32,55.33,0.6,Snack
Honeydew,138,361,Vegetarian,Dairy,43,28.89,75.85,10.93,Snack
Kiwi,239,144,Vegetarian,Dairy,32,16.71,46.24,17.93,Lunch
Spinach,406,529,Vegetarian,Dairy,58,15.91,70.21,16.68,Lunch
Pumpkin,385,156,Vegetarian,Nuts,93,8.48,31.14,23.51,Lunch
Macadamia,451,318,Vegetarian,Dairy,30,46.26,89.74,10.93,Snack
Peas,231,169,Vegetarian,None,23,38.21,85.88,0.6,Breakfast
Rice Milk,87,284,Vegetarian,Dairy,30,16.71,94.85,28.42,Dinner
Strawberries,327,259,Vegetarian,Gluten,20,19.64,78.04,16.68,Lunch
Plums,389,92,Vegetarian,Shellfish,27,46.53,28.17,38.97,Dinner
Macadamia,311,360,Vegetarian,Shellfish,66,12.89,24.51,28.0,Lunch
Cherries,174,536,Vegetarian,None,21,19.76,28.35,12.26,Dinner
Tempeh,213,86,Vegetarian,Gluten,27,19.11,90.92,19.06,Dinner
Nectarines,342,606,Vegetarian,Shellfish,77,45.45,15.2,33.47,Dinner
Barley,229,288,Vegetarian,Gluten,30,15.91,56.73,12.36,Breakfast
Honeydew,364,284,Vegetarian,Gluten,26,2.68,37.52,38.38,Lunch
Potatoes,181,575,Vegetarian,Nuts,55,33.12,45.45,6.62,Dinner
Yogurt,66,529,Vegetarian,Gluten,55,45.45,53.8,48.78,Dinner
Shrimp,66,168,Non-Vegetarian,Dairy,48,41.67,67.69,33.47,Snack
Kiwi,403,470,Vegetarian,None,24,5.73,87.26,23.91,Breakfast
Pecans,174,371,Vegetarian,Dairy,72,21.08,15.47,29.3,Dinner
Radishes,263,606,Vegetarian,Dairy,55,18.93,53.8,16.33,Dinner
Beans,192,416,Vegetarian,None,22,3.29,78.88,32.24,Dinner
Kiwi,406,670,Vegetarian,Dairy,41,29.46,8.9,38.9,Dinner
Garlic,66,147,Vegetarian,Nuts,57,41.16,39.41,44.12,Lunch
Rice,174,158,Vegetarian,Dairy,95,3.51,77.52,19.42,Breakfast
Pecans,87,422,Vegetarian,Shellfish,12,41.24,74.18,32.33,Dinner
Hazelnuts,76,438,Vegetarian,Gluten,44,34.7,74.18,20.59,Lunch
Cauliflower,168,520,Vegetarian,Shellfish,24,32.89,76.48,19.8,Lunch
Bananas,389,474,Vegetarian,Shellfish,29,37.93,37.52,35.86,Snack
Plums,98,575,Vegetarian,None,57,40.52,22.28,18.81,Lunch
Pineapple,239,414,Vegetarian,None,54,38.21,87.67,15.85,Lunch
Watermelon,138,301,Vegetarian,Dairy,58,30.68,35.38,42.7,Breakfast
Grapes,342,692,Vegetarian,Shellfish,15,25.03,45.71,28.0,Lunch
Tuna,364,616,Non-Vegetarian,None,71,25.05,25.38,23.98,Lunch
Carrot,193,288,Vegetarian,Shellfish,20,15.96,46.24,7.29,Lunch
Yams,451,650,Vegetarian,Nuts,29,41.67,25.38,38.9,Snack
Cream,397,469,Vegetarian,Nuts,75,19.64,61.67,32.24,Breakfast
Wheat,342,438,Vegetarian,Dairy,93,8.48,31.62,29.08,Lunch
Parsnips,298,536,Vegetarian,None,98,45.04,37.52,23.51,Dinner
Strawberries,397,617,Vegetarian,Nuts,95,27.65,64.62,0.89,Lunch
Milk,183,516,Vegetarian,Gluten,12,33.13,87.68,15.34,Breakfast
Watermelon,160,626,Vegetarian,Gluten,95,9.38,74.18,38.86,Dinner
Pumpkin,192,474,Vegetarian,None,99,33.12,70.43,38.21,Dinner
Cucumber,264,76,Vegetarian,Nuts,63,46.67,22.28,23.12,Breakfast
Squash,281,575,Vegetarian,Gluten,64,10.84,77.52,40.94,Snack
Yogurt,245,117,Vegetarian,Shellfish,17,29.46,30.76,33.82,Dinner
Pecans,499,470,Vegetarian,Shellfish,47,35.95,54.96,48.05,Snack
Kiwi,467,396,Vegetarian,Dairy,93,25.05,73.12,14.17,Dinner
Peas,222,612,Vegetarian,Shellfish,71,3.45,55.33,35.88,Lunch
Peanuts,98,54,Vegetarian,Shellfish,21,19.64,8.77,10.49,Snack
Zucchini,499,562,Vegetarian,Dairy,50,39.32,55.32,26.02,Lunch
Sweet Potatoes,183,384,Vegetarian,Nuts,59,3.29,64.62,38.9,Snack
Bananas,311,396,Vegetarian,None,21,25.03,74.31,14.52,Lunch
Kale,168,626,Vegetarian,None,86,37.93,70.21,42.7,Snack
Mango,334,619,Vegetarian,Dairy,21,43.4,28.31,47.05,Lunch
Oranges,385,474,Vegetarian,None,82,2.68,73.3,7.29,Lunch
Peaches,318,224,Vegetarian,None,59,26.11,8.9,20.19,Breakfast
Mutton,385,584,Non-Vegetarian,Nuts,20,19.64,31.14,6.44,Lunch
Kale,364,234,Vegetarian,None,58,37.93,8.77,38.38,Dinner
Peas,67,133,Vegetarian,Dairy,49,41.54,87.26,20.19,Lunch
Oat,269,626,Vegetarian,None,57,18.93,50.43,28.0,Snack
Beetroot,385,612,Vegetarian,None,23,39.18,80.47,47.05,Dinner
Leeks,183,513,Vegetarian,Shellfish,88,35.08,76.46,14.17,Lunch
Leeks,229,416,Vegetarian,Dairy,79,11.62,24.51,35.88,Dinner
Pineapple,283,301,Vegetarian,Gluten,59,5.23,61.22,47.05,Dinner
Shrimp,202,144,Non-Vegetarian,Nuts,54,3.56,44.23,17.93,Breakfast
Shrimp,174,259,Non-Vegetarian,Gluten,78,20.98,20.3,13.39,Lunch
Lentils,453,288,Vegetarian,Nuts,79,8.48,55.32,30.15,Snack
Chicken,67,133,Non-Vegetarian,None,43,27.65,37.52,35.88,Snack
Watermelon,427,520,Vegetarian,None,29,11.89,99.26,6.62,Snack
Papaya,66,470,Vegetarian,Shellfish,47,35.08,92.79,1.18,Breakfast
Spinach,67,175,Vegetarian,None,82,41.64,87.68,12.69,Dinner
Mutton,269,513,Non-Vegetarian,Shellfish,55,26.11,88.15,33.06,Lunch
Rice Milk,449,562,Vegetarian,Dairy,63,46.53,87.26,18.81,Snack
Kale,71,369,Vegetarian,Nuts,58,20.98,46.24,45.32,Lunch
Yogurt,294,414,Vegetarian,Nuts,15,19.19,99.26,32.33,Dinner
Cashews,372,217,Vegetarian,Nuts,24,45.04,37.89,1.84,Snack
Papaya,294,637,Vegetarian,Dairy,19,32.89,70.21,32.33,Breakfast
Yogurt,132,133,Vegetarian,Shellfish,21,26.74,54.96,0.89,Snack
Tomatoes,463,217,Vegetarian,Gluten,61,21.52,77.52,42.7,Lunch
Milk,394,536,Vegetarian,None,49,41.64,61.67,7.29,Snack
Rice Milk,231,459,Vegetarian,Gluten,77,12.89,76.46,30.15,Snack
Peanuts,462,430,Vegetarian,None,11,32.89,76.46,10.49,Lunch
Turnips,94,617,Vegetarian,Shellfish,26,29.46,99.26,27.36,Snack
Lamb,419,529,Non-Vegetarian,Gluten,64,11.94,73.3,13.39,Dinner
Oat Milk,178,259,Vegetarian,None,59,21.52,43.46,7.68,Snack
Mushrooms,499,284,Vegetarian,Dairy,30,11.94,93.48,33.06,Dinner
Coconut Milk,453,536,Vegetarian,None,27,1.06,87.26,37.72,Snack
Nuts,419,472,Vegetarian,None,29,19.11,93.7,0.6,Dinner
Oat Milk,467,637,Vegetarian,Shellfish,47,41.67,45.45,38.86,Breakfast
Nuts,275,536,Vegetarian,Gluten,59,42.95,80.47,14.71,Lunch
Strawberries,253,346,Vegetarian,None,10,19.11,75.85,16.33,Dinner
Yogurt,385,230,Vegetarian,Gluten,64,39.18,74.18,27.13,Snack
Apricots,213,168,Vegetarian,Shellfish,30,19.83,18.2,23.51,Dinner
Butter,92,615,Vegetarian,None,12,35.65,21.8,12.69,Dinner
Grapes,124,435,Vegetarian,Dairy,93,46.67,94.85,23.51,Dinner
Carrot,430,375,Vegetarian,None,72,15.87,39.41,30.15,Dinner
Spinach,154,570,Vegetarian,Dairy,93,18.93,61.15,48.78,Dinner
Carrot,294,472,Vegetarian,None,59,33.12,45.79,13.39,Lunch
Watermelon,297,284,Vegetarian,Gluten,97,46.67,89.42,29.08,Breakfast
Milk,192,396,Vegetarian,Gluten,44,5.73,45.53,14.17,Dinner
Bell Peppers,87,325,Vegetarian,Shellfish,21,3.45,78.53,35.86,Breakfast
Almond Milk,59,399,Vegetarian,Gluten,59,32.89,21.8,28.6,Lunch
Mutton,174,227,Non-Vegetarian,Nuts,59,1.06,32.79,28.6,Snack
Tomatoes,451,346,Vegetarian,Shellfish,82,39.18,65.18,37.31,Breakfast
Turkey,403,622,Non-Vegetarian,Dairy,12,32.61,75.85,28.8,Snack
Mushrooms,245,227,Vegetarian,None,95,34.58,76.46,1.84,Lunch
Cantaloupe,333,238,Vegetarian,Shellfish,23,3.99,22.28,38.93,Breakfast
Yogurt,174,371,Vegetarian,Shellfish,77,14.59,93.7,6.62,Dinner
Tuna,351,469,Non-Vegetarian,Shellfish,29,25.03,55.33,23.12,Dinner
